State |City|MSA|2017 All Cities Rank|Hours Spent in Congestion|ICI|PEAK|Daytime|Overall||
Rhode Island|Providence|77200|413|21|3.7|10|5|6||
Rhode Island|Richmond|77200||||||||
Rhode Island|Warwick|77200||||||||
Rhode Island|Woonsocket|77200||||||||
South Carolina|Greenville-Spartanburg|24860|926|10|2|6|4|4||
Tennessee|Knoxville|28940|834|12|2.1|7|4|4||
Tennessee|Memphis|32820|556|17|3.2|8|5|5||
Tennessee|Nashville|34980|150|33|5.7|19|9|11||
Texas|Austin|12420|72|43|7.4|20|8|11||
Texas|Dallas-Fort Worth|19124|28|54|9.3|11|5|6||
Texas|Frisco|||||||||
Texas|Houston|26420|37|50|8.4|13|5|7||
Texas|Milam County|||||||||
Utah||||||||||
Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894||||||||
Virginia|Great Richmond|40060|868|11|2.2|5|4|4||
Virginia|Hampton Roads|47260|469|20|3.5|11|5|7||
Virginia|Northern Virginia|||||||||
Washington|Pudget Sound Region|||||||||
Washington|Tacoma-Pierce County|42660|83|41|7|20|10|11||
Washington, DC||47894|13|63|10.8|20|9|11||
Wisconsin|Madison|31540|981|9|1.6|5|2|3||
Wisconsin|Milwaukee|33340|439|21|3.7|8|4|5||
||||||||||
||||||||||
||||||||||
